cuenta,shortCode,fecha,url,views,likes,comentarios,duracion_seg,caption,compartidas,transcript
robthebank,DYacR14uvPi,2026-05-16,https://www.instagram.com/p/DYacR14uvPi/,1932,180,1,38.915,"I remember realizing some people were living a life I couldn’t reach by working forever.

That was the moment I understood there are different rules around money, leverage, and freedom.

Most people are taught how to survive, not how to escape the system they’re stuck inside.

Sometimes discomfort i",0,"I still remember when I was a kid and I looked up how much a Ferrari cost.
250k. I sat there and I did some math. If I worked my job for six straight years,
walked everywhere, didn't eat out, didn't spend anything, I still couldn't buy that car.
How is that possible? There are people driving cars I couldn't afford if I gave them every
dollar I'd make for the next six years. Then I found out they're not doing it because they're
smarter. They figured out rules I was never told. I couldn't sleep that night because I knew the
whole economic story I'd been living was a lie. Trade your hours, get paid hourly, save what's
left, retire at 65 with knees that don't work. That kind of discomfort is the most useful gift
you can ever get and I want you to embrace it because it doesn't ask you to be motivated.
It makes you uncomfortable enough to actually escape."
robthebank,DYdJCmhOf8n,2026-05-17,https://www.instagram.com/p/DYdJCmhOf8n/,136,5,0,39.456,"Wanting something badly is the fastest way to keep it away from you.

Most people treat desire as a signal to the universe. It is. But the signal is not “I want this.” The signal is “I do not have this.”

The people who actually build wealth, love, and freedom feel the arrival before it shows up. Th",0,"You're broadcasting, I want money, I want money, I want money, and the universe is saying good.
I'll create conditions so you're always feeling like you want money, but never feeling like you have it.
I heard a man tell this story.
He was broke in a 900 square foot apartment with sheets over the windows.
He would picture himself as if he already lived there.
Then he'd look at the apartment.
His secret was different than most.
He knew that once he lived in the mansion, he'd feel the exact same way he felt in the apartment.
He wasn't broadcasting lack, he was broadcasting already have it.
Years later, the apartment became multiple residences.
You don't manifest the conditions, you manifest the state.
The state has to come first, before the conditions, regardless of the conditions,
before there's any evidence that the conditions are changing at all.
The mansion didn't make him calm, the calm made the mansion possible."
robthebank,DYcbkQZsVSP,2026-05-17,https://www.instagram.com/p/DYcbkQZsVSP/,1718,91,1,16.206,"If someone is still arguing with you, there’s often still emotion and attachment underneath it.

People usually stop fighting when they stop believing the relationship matters enough to fix.

Conflict can sometimes come from frustration, disappointment, or wanting to feel heard.

Indifference is usu",0,"If she's fighting with you every single day, congratulations.
Your love.
The woman who's screaming at you over something stupid isn't the problem.
Your inability to read what's actually happening is.
She's not nagging.
She's investing emotional currency in a relationship she still believes can work.
The day she goes quiet is the day she stops believing.
Quiet is not peace.
I shits the funeral."
robthebank,DYaiSI7u1pp,2026-05-16,https://www.instagram.com/p/DYaiSI7u1pp/,425,18,1,48.133,"Your brain is doing math with every song and you have no idea.

Electronic music is built on a biological loop. Tension, delay, release. The buildup does not exist to hype you up, it exists to stretch your reward system until it snaps.

The drop lands so hard because your brain predicted it but not ",0,"House and electronic music are engineered
around one psychological trick, prediction.
Your brain is constantly trying to guess the next drop.
So when the buildup starts, the rising tension,
the effect, the silence before everything,
your brain enters a state of anticipation.
Neuroscience calls this the prediction cycle.
Your brain is waiting for resolution.
The build delays it.
That delay stretches your internal reward system.
When the drop hits,
your brain releases a high value prediction error.
Something expected, but not perfectly predicted.
That gap is where the dopamine fires.
That's why the drop doesn't just feel good.
It feels like release, like relief.
The more electronic music you listen to,
the better your brain gets at anticipating the structure.
That's why your favorite DJ feels extra satisfying
and why a great party feels like coming home.
Your brain knows the pattern language.
It's not entertainment.
It is literally neural engineering.
Every track is a controlled invitation
for your nervous system to surrender
on a timeline that you didn't write.
Some people pray with words.
Others, pray with speakers."
robthebank,DYa1vcnMXQI,2026-05-17,https://www.instagram.com/p/DYa1vcnMXQI/,48262,6465,42,21.245,"People who betray you often distance themselves afterward because you became a reminder of their own actions.

Rather than sit with the guilt, they rewrite the story in a way that protects their self-image.

That’s why someone can hurt you and still speak about you with resentment afterward.

A lot ",0,"A person who has betrayed you is going to be avoiding you at all costs because you are
a reminder of their own worthlessness.
That's why they don't reach out.
That's why they talk shit to people you've never met.
They have to because the alternative is sitting alone with the versions of themselves that
did what they did.
So they invent a story where you are the problem.
The day they betrayed you, they made the most expensive trade of their life.
They traded their self-respect for whatever cheap thing they wanted in the moment and
now they have to spend the rest of their life avoiding their receipt."
robthebank,C84vcGKNMOq,2024-07-01,https://www.instagram.com/p/C84vcGKNMOq/,490887,32771,12099,55.413,"Here’s how you’re going to make $1,000,000 on TikTok Shop in less than 12 months…

Step 1. Use Fastmoss.com to find popular products

Step 2. Improve the brand by 3% using my MDBC AI Masterclass

Comment “AI MONEY” below and I’ll send you the entire thing

Step 3. Set up a TikTok Seller account 

St",0,"Here's how you're gonna make a million dollars
on TikTok shop in less than 12 months.
And these are real case studies
that we are doing right now.
We are making thousands of dollars per day
and some of these brands could be turned around
and sold for millions tomorrow.
Even if you're lazy, we use AI
to do a lot of the heavy lifting.
There's no excuse.
First, use Fast Moss to find one
of the popular up and coming products.
It's so early, none of these are optimized.
Their branding sucks.
Next, I'm gonna improve the product by 3%
using our free MDBC AI masterclass.
Comment the words AI money below
and I'll send you the entire thing free.
Next, you'll open up a TikTok shop seller central
and you'll set up an account with Shipbop.
This is who does all of your fulfillment
through the platform.
Finally, learn how to create faceless UGC content
by copying the other top brands on Fast Moss,
literally copying the hooks and videos and styles
and you will get sales.
From here, you can add on more independent creators
through TikTok shop and get infinite leverage.
I'm telling you, if not now, when?"
robthebank,DMbC2UDJTKJ,2025-07-22,https://www.instagram.com/p/DMbC2UDJTKJ/,232337,7742,217,51.066,This what we’ve been working for but I can assure u it’s only the beginning. Magic @blondish 🪄 🏦,0,"This is all I need, I'm gonna get it
This is all I need, I'm gonna get it
What do you think I'm gonna do?"
robthebank,DYc-v5DOfHW,2026-05-17,https://www.instagram.com/p/DYc-v5DOfHW/,279,20,0,41.291,"One day you wake up and realize life quietly became routine.

The mornings blur together, the weeks move faster, and suddenly the years don’t feel far away anymore.

What people forget is that the version of you ten years from now is going to miss the freedom, energy, and time you have right now.

D",0,"Suddenly you're 25 and you're making your morning coffee,
getting ready for work, coming home around six or seven.
Too tired to do much except scroll, eat and sleep.
Then you wake up and do it again.
Friday hits and you're either out
or you're too tired to be out.
And somewhere in there you realize 15 wasn't 10 years ago.
It was 1,000 mornings ago and nobody told you the trick.
The trick is that 25 is also gonna be
1,000 mornings ago soon.
And the version of you at 35 is gonna look at photos
from this week and wish you'd appreciate this freedom.
Time doesn't pass, time is a debt collector.
It just keeps showing up at the door
and you keep handing it years
and acting like you have a limited.
Don't waste 25 trying to survive 25.
Don't scroll through your one
wild irreplaceable Tuesday because work was hard.
The truth is that the boring routine
is the most expensive thing you'll ever buy
on a payment plan.
Live this one out loud.
The next version of you is begging for it."
robthebank,DRibSQvjjw9,2025-11-26,https://www.instagram.com/p/DRibSQvjjw9/,122583,6879,168,20.833,I know you do.,0,"Tell me sometimes
Do you feel like you deserve to be rich?
That's the seed
It starts in your mind
Let it grow
All I need is some love in my life"
robthebank,DYXUxfnOFzg,2026-05-15,https://www.instagram.com/p/DYXUxfnOFzg/,15611,515,17,13.072,@brokenhillmusic x @highriskrecords tonight at Fifty Eight 🇵🇷,0,What's up
