"fecha","shortCode","url","views","plays","likes","comentarios","duracion_seg","caption"
"2026-05-15","DYYFL5GRFVV","https://www.instagram.com/p/DYYFL5GRFVV/","5823","19669","473","13","83.9","🤡❌ La ECONOMÍA del ESPECTÁCULO ❌🤡  #negocios #despiertospodcast #politica"
"2026-05-14","DYVVtBsGjV3","https://www.instagram.com/p/DYVVtBsGjV3/","2251","13494","181","4","49.6","❌ comenta PODCAST para mandarte el video completo ❌  En este video hablo de por qué la creencia colectiva es una de las fuerzas más poderosas dentro de una sociedad. Mucho de lo que sostiene al mundo no existe físicamente: existe porque millones de personas deciden creer en ello al mismo tiempo.  El dinero, las leyes, las fronteras, las instituciones, incluso muchas estructuras sociales funcionan porque hay un acuerdo invisible que las mantiene vivas. Cuando una sociedad deja de creer en algo, ese sistema empieza a fracturarse.  La creencia colectiva no solo organiza el orden externo, también da dirección interna. Valores compartidos, símbolos, fe, propósito común. Sin eso, no hay cohesión; solo individuos persiguiendo intereses aislados.  Este video explora cómo las civilizaciones se construyen y se derrumban alrededor de ideas compartidas. Porque una sociedad no colapsa primero por falta de recursos, sino por pérdida de sentido común y de confianza en aquello que la une.  Entender esto cambia la forma en que ves el mundo. No todo se sostiene por fuerza. Muchas cosas se sostienen porque suficientes personas siguen creyendo.  Y cuando esa fe colectiva se rompe, el caos entra rápido.  #sociedad #conciencia #pensamientocritico #proposito #despiertospodcast"
"2026-05-12","DYQMNYRk5UW","https://www.instagram.com/p/DYQMNYRk5UW/","9089","39073","623","35","46.2","❌ comenta PODCAST para mandarte el video completo ❌  En este video hablo de cuando a los 18 empecé a hacer buen dinero y, por primera vez, sentí que estaba ganando el juego que todos te dicen que debes ganar. Libertad, resultados, validación. Desde afuera parecía éxito.  Pero por dentro había una pregunta incómoda que no se iba: ¿y ahora qué?  Descubrí algo que casi nadie te dice: hacer dinero no significa encontrar propósito. Puedes estar avanzando financieramente y aun así sentirte vacío. Porque el dinero resuelve problemas reales, pero no responde preguntas existenciales.  A esa edad pensé que cuando llegara cierta cifra todo iba a hacer sentido. Que la tranquilidad, la identidad y la dirección venían junto con la cuenta bancaria. No fue así. El logro material me dio opciones, pero no significado.  Ese vacío fue importante. Me obligó a dejar de preguntar cuánto quería ganar y empezar a preguntarme para qué. Qué estaba construyendo, a quién servía y qué parte de mí seguía desconectada aunque todo “fuera bien”.  Este video no es una crítica al dinero. Es una reflexión sobre lo que pasa cuando consigues lo que querías y descubres que todavía falta algo más profundo.  #proposito #dinero #crecimientopersonal #conciencia #despiertospodcast"
"2026-05-11","DYNcrx-Rsk4","https://www.instagram.com/p/DYNcrx-Rsk4/","36962","91871","3713","72","129.9","Energía nuclear? La respuesta  #inversionista"
"2026-05-10","DYLCghPjfpg","https://www.instagram.com/p/DYLCghPjfpg/","10377","39971","759","29","62.6","❌ Estoy harto de ser INFLUENCER ❌  En este video hablo de algo más personal: quiero volver a enamorarme del proceso de documentar mi vida. No del resultado, no de los números, no de la validación… del proceso. Hubo un punto donde todo se volvió estrategia: qué funciona, qué no, qué se hace viral. Y sin darme cuenta, dejé de disfrutar lo que me hizo empezar. Documentar dejó de ser expresión y se convirtió en optimización. Quiero regresar a grabar sin presión, a compartir sin sobrepensar cada toma, a capturar momentos por lo que son y no por cómo van a performar. Porque cuando pierdes eso, pierdes la conexión con lo que haces. Este video no es una queja, es un ajuste de dirección. Recordar que antes de ser negocio, esto era vida. Y que si no disfruto el proceso, ningún resultado lo va a compensar. Volver a enamorarte del proceso no es retroceder. Es volver a lo esencial. #crecimientopersonal #proceso #enfoque #disciplina #despiertospodcast"
"2026-05-09","DYId1khCol4","https://www.instagram.com/p/DYId1khCol4/","16665","62030","732","39","92.4","❌ Por qué volví con mi ex en 2025? ❌  En este video hablo de por qué volví con mi ex después de haber dicho públicamente que no lo hicieran. No desde la excusa, sino desde la contradicción real.  Decir algo y vivirlo son cosas distintas. Es fácil dar consejos cuando no estás en medio de la emoción, la historia compartida y lo que todavía sientes. Volver no fue solo una decisión lógica, fue una mezcla de apego, nostalgia y cosas que pensé que podían funcionar distinto.  Este video no intenta justificar la decisión. La pone sobre la mesa. Porque muchos caen en lo mismo: creen que esta vez sí será diferente sin haber cambiado lo suficiente. Y ahí es donde el patrón se repite.  También hablo de algo importante: equivocarte no te invalida, pero ignorar lo que aprendes sí. A veces necesitas vivir la contradicción para entender por qué dijiste lo que dijiste en primer lugar.  Volver con tu ex no siempre es un error automático, pero casi siempre es una prueba de honestidad contigo mismo. ¿Realmente cambió algo o solo estás regresando a lo conocido?  Este video es una reflexión sobre coherencia, emociones y decisiones difíciles. Porque no siempre haces lo correcto… pero sí puedes aprender de ello.  #relaciones #conciencia #crecimientopersonal #decisiones #despiertospodcast"
"2026-05-08","DYFw89dhGbN","https://www.instagram.com/p/DYFw89dhGbN/","49577","170441","4228","214","135.5","❌ Me dejo de sedar hoy ❌  #motivacion #crecimientopersonal #despiertospodcast #weed"
"2026-05-07","DYDmY_iP2Yr","https://www.instagram.com/p/DYDmY_iP2Yr/","153191","343856","23084","843","86.6","DESPIERTA!!!!!  #motivacion #crecimientopersonal #despiertospodcast"
"2026-05-06","DYAvVlDiUOE","https://www.instagram.com/p/DYAvVlDiUOE/","4585","27216","405","17","32.2","❌ comenta PODCAST para mandarte el video completo ❌  En este video hablo de por qué el propósito no tiene nada que ver con cumplir una función mecánica o encajar en una etiqueta. Mucha gente cree que encontrar propósito es descubrir “para qué sirves”, como si fueras una herramienta diseñada para una sola tarea.  Pero el propósito no es una función. No eres una máquina ni una pieza reemplazable dentro de un sistema. El propósito no se reduce a productividad, a profesión o a lo que generas económicamente. Va mucho más profundo.  Tener propósito no significa solo hacer algo útil, significa vivir de forma alineada con lo que eres, con lo que valoras y con la forma en la que sirves a otros. No es eficiencia, es sentido.  Confundir propósito con función lleva a una vida vacía: haces mucho, produces mucho, pero no sabes por qué. Cumples tareas, pero no construyes significado. Y ahí aparece esa sensación extraña de éxito sin plenitud.  Este video explica que el propósito no se trata de encajar, sino de integrar. De unir identidad, servicio y dirección. No se trata de preguntarte “¿para qué sirvo?”, sino “¿cómo quiero vivir y qué quiero dejar?”  Porque existir no es solo funcionar. Es significar.  #proposito #sentidodevida #conciencia #crecimientopersonal #despiertospodcast"
"2026-05-04","DX7l9-TkXyp","https://www.instagram.com/p/DX7l9-TkXyp/","17627","63314","1759","24","31.6","❌ comenta PODCAST para mandarte el video completo ❌  En este video hablo de cómo la presencia de Jeshua y su esposa ha influido profundamente en su vida. No desde la idea superficial de “tener pareja”, sino desde el impacto real que una buena relación puede tener en la dirección, la paz y el crecimiento de un hombre.  Una buena mujer no solo acompaña, también confronta, ordena y estabiliza. La relación correcta no te distrae de tu propósito; muchas veces te ayuda a sostenerlo. Te da perspectiva cuando estás cegado por la ambición y calma cuando el ruido externo empieza a dominar.  Jeshua comparte cómo su esposa no llegó como adorno en su historia, sino como parte importante de su construcción personal. La madurez emocional, la visión de familia y la forma de enfrentar la vida cambian cuando dejas de pensar solo en ti.  Este video no idealiza relaciones perfectas ni romantiza dependencia. Habla de compañerismo real. De elegir a alguien con quien construir y no solo alguien con quien entretenerte.  A veces, una buena pareja no cambia tu destino… te ayuda a convertirte en la persona capaz de sostenerlo.  #relaciones #pareja #proposito #crecimientopersonal #despiertospodcast"
